class,true_positives,true_negatives,false_positives,false_negatives,precision,recall,f1_score,support
alkene,567,9020,93,320,0.8590909090907789,0.6392333709131184,0.7330316742080973,887
alkyne,0,10000,0,0,0.0,0.0,0.0,0
benzene ring,3523,5901,48,528,0.9865583870064132,0.8696618118982753,0.9244292836525725,4051
naphthalene,80,9823,0,97,0.99999999999875,0.4519774011296882,0.6225680933849718,177
amine,1048,8649,4,299,0.996197718631084,0.7780252412768539,0.8736973739057576,1347
alcohol (aromatic),118,9806,3,73,0.975206611569442,0.6178010471200954,0.756410256410014,191
alcohol (aliphatic),339,9192,26,443,0.9287671232874168,0.4335038363170801,0.5911072362684751,782
ether (aromatic),1085,8607,71,237,0.9385813148788115,0.8207261724658985,0.8757062146892302,1322
ether (aliphatic),2129,7098,86,687,0.9611738148983765,0.756036931818155,0.8463526137944575,2816
alkyl halide (F),886,9104,0,10,0.9999999999998871,0.9888392857141753,0.9943883277216052,896
alkyl halide (Cl),708,9254,3,35,0.9957805907171594,0.9528936742932768,0.9738651994497267,743
alkyl halide (Br),0,10000,0,0,0.0,0.0,0.0,0
alkyl halide (I),0,10000,0,0,0.0,0.0,0.0,0
thiol,0,10000,0,0,0.0,0.0,0.0,0
aldehyde,0,10000,0,0,0.0,0.0,0.0,0
ketone (aromatic),120,9814,0,66,0.9999999999991667,0.6451612903222338,0.7843137254899398,186
ketone (aliphatic),365,9416,9,210,0.9759358288767445,0.6347826086955417,0.7692307692306881,575
ester (aromatic),360,9428,4,208,0.9890109890107174,0.6338028169012968,0.7725321888411187,568
ester (aliphatic),3282,5883,264,571,0.925549915397605,0.8518037892551038,0.8871469117448184,3853
carboxylic acid,201,9589,8,202,0.9617224880378175,0.49875930521079437,0.6568627450979319,403
amide,1260,8505,19,216,0.9851446442532459,0.853658536585308,0.9147005444645766,1476
nitrite,0,10000,0,0,0.0,0.0,0.0,0
nitrate,172,9808,0,20,0.9999999999994187,0.8958333333328669,0.9450549450546855,192
nitrile,301,9635,8,56,0.9741100323621443,0.8431372549017246,0.9039039039037681,357
epoxide,25,9805,0,170,0.9999999999960001,0.12820512820506247,0.227272727272624,195
imide,310,9579,16,95,0.9509202453984813,0.7654320987652431,0.8481532147741657,405
acid chloride,0,10000,0,0,0.0,0.0,0.0,0
anhydride,48,9798,1,153,0.9795918367326947,0.23880597014913493,0.3839999999998464,201
nitro (aromatic),192,9787,0,21,0.9999999999994792,0.9014084507038022,0.948148148147914,213
sulfide,368,9584,1,47,0.9972899728994588,0.8867469879515936,0.9387755102039619,415
sulfone,413,9567,5,15,0.9880382775117253,0.9649532710278119,0.9763593380613502,428
sulfonate,172,9811,0,17,0.9999999999994187,0.9100529100524286,0.9529085872573538,189
azide,0,10000,0,0,0.0,0.0,0.0,0
chlorobenzene,514,9446,0,40,0.9999999999998054,0.9277978339348505,0.9625468164793106,554
bromobenzene,188,9806,0,6,0.9999999999994682,0.9690721649479541,0.9842931937170198,194
siloxane,220,9594,6,180,0.9734513274331976,0.5499999999998625,0.70287539936091,400
phosphazene,152,9818,0,30,0.9999999999993422,0.8351648351643763,0.9101796407182904,182
phenoxy,150,9818,0,32,0.9999999999993334,0.8241758241753714,0.9036144578310532,182
pyridine,312,9635,7,46,0.9780564263319819,0.8715083798880248,0.9217134416542212,358
alkane,9776,182,11,31,0.9988760600796873,0.9968389925563271,0.9978564866795908,9807
